Areaname,STCOU,Area_sqmi_2010
UNITED STATES,00000,3531905.43
ALABAMA,01000,50645.33
"Autauga, AL",01001,594.44
"Baldwin, AL",01003,1589.78
"Barbour, AL",01005,884.88
"Bibb, AL",01007,622.58
"Blount, AL",01009,644.78
"Bullock, AL",01011,622.81
"Butler, AL",01013,776.83
"Calhoun, AL",01015,605.87
"Chambers, AL",01017,596.53
"Cherokee, AL",01019,553.7
"Chilton, AL",01021,692.85
"Choctaw, AL",01023,913.5
"Clarke, AL",01025,1238.47
"Clay, AL",01027,603.96
"Cleburne, AL",01029,560.1
"Coffee, AL",01031,678.97
"Colbert, AL",01033,592.62
"Conecuh, AL",01035,850.16
"Coosa, AL",01037,650.93
"Covington, AL",01039,1030.46
"Crenshaw, AL",01041,608.84
"Cullman, AL",01043,734.84
"Dale, AL",01045,561.15
"Dallas, AL",01047,978.7
"DeKalb, AL",01049,777.09
"Elmore, AL",01051,618.49
"Escambia, AL",01053,945.08
"Etowah, AL",01055,534.99
"Fayette, AL",01057,627.66
"Franklin, AL",01059,633.82
"Geneva, AL",01061,574.41
"Greene, AL",01063,647.11
"Hale, AL",01065,643.94
"Henry, AL",01067,561.75
"Houston, AL",01069,579.82
"Jackson, AL",01071,1077.87
"Jefferson, AL",01073,1111.28
"Lamar, AL",01075,604.85
"Lauderdale, AL",01077,667.7
"Lawrence, AL",01079,690.68
"Lee, AL",01081,607.54
"Limestone, AL",01083,559.94
"Lowndes, AL",01085,715.91
"Macon, AL",01087,608.89
"Madison, AL",01089,801.59
"Marengo, AL",01091,976.88
"Marion, AL",01093,742.29
"Marshall, AL",01095,565.84
"Mobile, AL",01097,1229.44
"Monroe, AL",01099,1025.68
"Montgomery, AL",01101,784.25
"Morgan, AL",01103,579.34
"Perry, AL",01105,719.66
"Pickens, AL",01107,881.41
"Pike, AL",01109,672.09
"Randolph, AL",01111,580.55
"Russell, AL",01113,641.14
"St. Clair, AL",01115,631.9
"Shelby, AL",01117,784.93
"Sumter, AL",01119,903.89
"Talladega, AL",01121,736.78
"Tallapoosa, AL",01123,716.52
"Tuscaloosa, AL",01125,1321.76
"Walker, AL",01127,791.19
"Washington, AL",01129,1080.21
"Wilcox, AL",01131,888.5
"Winston, AL",01133,612.98
ALASKA,02000,570640.95
"Aleutians East, AK",02013,6981.94
"Aleutians West, AK",02016,4390.28
"Anchorage, AK",02020,1704.68
"Bethel, AK",02050,40570
"Bristol Bay, AK",02060,503.84
"Denali, AK",02068,12751.41
"Dillingham, AK",02070,18568.78
"Fairbanks North Star, AK",02090,7338.21
"Haines, AK",02100,2318.6
"Hoonah-Angoon, AK",02105,7524.92
"Juneau, AK",02110,2701.93
"Kenai Peninsula, AK",02122,16075.33
"Ketchikan Gateway, AK",02130,4858.41
"Kodiak Island, AK",02150,6549.58
"Lake and Peninsula, AK",02164,23652.01
"Matanuska-Susitna, AK",02170,24607.9
"Nome, AK",02180,22961.76
"North Slope, AK",02185,88695.41
"Northwest Arctic, AK",02188,35572.58
"Petersburg, AK",02195,3281.98
"Prince of Wales-Hyder, AK",02198,3922.87
"Sitka, AK",02220,2870.34
"Skagway, AK",02230,452.33
"Southeast Fairbanks, AK",02240,24768.81
"Valdez-Cordova, AK",02261,34239.88
"Wade Hampton, AK",02270,17081.43
"Wrangell, AK",02275,2541.48
"Yakutat, AK",02282,7649.46
"Yukon-Koyukuk, AK",02290,145504.79
ARIZONA,04000,113594.08
"Apache, AZ",04001,11197.52
"Cochise, AZ",04003,6165.69
"Coconino, AZ",04005,18618.89
"Gila, AZ",04007,4757.93
"Graham, AZ",04009,4622.6
"Greenlee, AZ",04011,1843.13
"La Paz, AZ",04012,4499.63
"Maricopa, AZ",04013,9200.14
"Mohave, AZ",04015,13311.08
"Navajo, AZ",04017,9950.42
"Pima, AZ",04019,9187.04
"Pinal, AZ",04021,5365.61
"Santa Cruz, AZ",04023,1236.92
"Yavapai, AZ",04025,8123.5
"Yuma, AZ",04027,5513.99
ARKANSAS,05000,52035.48
"Arkansas, AR",05001,988.77
"Ashley, AR",05003,925.35
"Baxter, AR",05005,554.28
"Benton, AR",05007,847.36
"Boone, AR",05009,590.23
"Bradley, AR",05011,649.23
"Calhoun, AR",05013,628.58
"Carroll, AR",05015,630.09
"Chicot, AR",05017,644.3
"Clark, AR",05019,866.07
"Clay, AR",05021,639.47
"Cleburne, AR",05023,553.69
"Cleveland, AR",05025,597.78
"Columbia, AR",05027,766.05
"Conway, AR",05029,552.25
"Craighead, AR",05031,707.21
"Crawford, AR",05033,593.09
"Crittenden, AR",05035,609.76
"Cross, AR",05037,616.38
"Dallas, AR",05039,667.39
"Desha, AR",05041,768.15
"Drew, AR",05043,828.36
"Faulkner, AR",05045,647.88
"Franklin, AR",05047,608.86
"Fulton, AR",05049,618.19
"Garland, AR",05051,677.78
"Grant, AR",05053,631.81
"Greene, AR",05055,577.7
"Hempstead, AR",05057,727.52
"Hot Spring, AR",05059,615.2
"Howard, AR",05061,588.55
"Independence, AR",05063,763.95
"Izard, AR",05065,580.58
"Jackson, AR",05067,633.94
"Jefferson, AR",05069,870.75
"Johnson, AR",05071,659.8
"Lafayette, AR",05073,528.27
"Lawrence, AR",05075,587.61
"Lee, AR",05077,602.62
"Lincoln, AR",05079,561.52
"Little River, AR",05081,532.25
"Logan, AR",05083,708.13
"Lonoke, AR",05085,770.73
"Madison, AR",05087,834.26
